Id,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,Name,Symbol
bce4fc2a-2e7c-4f85-4f69-2e72d4c13dd8,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pa'anga,TOP
1050752a-e5fd-4f23-4377-784da3ba3711,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pakistan Rupee,PKR
72a3dd60-3eca-446e-4035-aca119a2352c,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Palladium,XPD
eb42a4e6-5580-43cf-4774-d70fb4d0aa89,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pataca,MOP
7f78b505-9928-4715-4874-b77c532c2e7a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pathet Lao Kip,LAJ
c267b7c7-1fa4-4f05-4fd8-be007d6e7879,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Peso,ARY
5f5c52f4-496a-4c37-486c-32b962460233,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Peso Argentino,ARP
84c05428-e10b-4972-45d3-5326fabf4cad,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Peso boliviano,BOP
2b56d748-83d5-43f9-4c34-baa8611ad0b9,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Peso Convertible,CUC
eb2d026d-551a-43b8-4ce4-53d30121a2e0,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Peso Uruguayo,UYU
978387a6-5506-4ff2-4a51-48338eaf3f8f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Philippine Peso,PHP
2bdff99f-df06-4869-44e6-d57aa4401968,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Platinum,XPT
a0af000d-313f-4bc3-4eae-c08b6e1fd53d,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Portuguese Escudo,PTE
3800f91b-8d8d-497e-4957-18d2308b7dae,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pound,ILP
a0349951-87e8-49b2-4741-86da373e1ab2,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pound Sterling,GBP
e27a81f6-8a1c-4659-4d1f-54dc37eebdc6,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Pula,BWP
9889140f-ea8f-49ea-40dd-e017581f1dd5,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Qatari Rial,QAR
1cadbd7b-4f56-4417-42f7-c404a65aa871,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Quetzal,GTQ
e9765da3-093f-431a-41c5-f86218ed3244,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rand,ZAR
f7dcee53-2158-4bd6-44bd-062583c9c88b,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rhodesian Dollar,RHD
41de4b4e-288d-4ce1-4dae-f3bc507b59c7,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rial Omani,OMR
9e574312-87c3-4765-447c-66a90e8410e5,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Riel,KHR
e57f3fcb-050e-46c6-4feb-200ac67d2a79,3/4/2024,SYSTEM,3/4/2024,SYSTEM,RINET Funds Code,XRE
ee6e1c99-435d-47bf-401a-8bab7c509a1d,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rouble,SUR
e054ac49-ca05-4472-4f75-31b85747abe4,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rufiyaa,MVR
0b53ee41-b28c-47a3-487f-3ac115b6093a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rupiah,IDR
54daf98b-79fe-46ce-4a64-0a7809e9e856,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Russian Ruble,RUB
1888d278-bbbc-4694-4eac-525e3a4eceb6,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Rwanda Franc,RWF
e5342ebc-b9e9-4284-4957-3870add4f0bf,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Saint Helena Pound,SHP
dda4d049-28b2-4bed-4f63-c8c91abcd297,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Saudi Riyal,SAR
e2111bf2-10ec-4303-4ebe-149158d5dd82,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Schilling,ATS
b99b7cf9-e1e1-437d-4ceb-7a967b2eecef,3/4/2024,SYSTEM,3/4/2024,SYSTEM,SDR (Special Drawing Right),XDR
e9d0a708-f18a-4c3d-4742-4c0d6e874499,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Serbian Dinar,RSD
b91a1420-f80b-4245-41a8-91f8695279d4,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Seychelles Rupee,SCR
